month_year,country,value
2025-02,Myanmar,0.9999999999999999
2025-02,Philippines,13.0
2025-02,Singapore,48.0
2025-02,Thailand,30.000000000000004
2025-02,Vietnam,18.0
2025-03,Cambodia,3.0
2025-03,Indonesia,15.0
2025-03,Malaysia,18.0
2025-03,Myanmar,1.0
2025-03,Philippines,13.0
2025-03,Singapore,51.0
2025-03,Thailand,30.0
2025-03,Vietnam,19.0
