YearMonth,Currency,AverageRate
2024-03,PHP,55.82290043321823
2024-03,SGD,1.3396449645519746
2024-03,THB,35.87049386355961
2024-03,VND,24730.58481818013
2024-04,BND,1.3571291225795235
2024-04,IDR,16079.569212240507
2024-04,KHR,4048.0821183300723
2024-04,LAK,21324.242774794362
2024-04,MMK,2098.7336387075943
2024-04,MYR,4.759865617125236
2024-04,PHP,56.97745958724816
2024-04,SGD,1.3571291225795235
2024-04,THB,36.83688738059965
2024-04,VND,25145.614012150207
2024-05,BND,1.3500465043647352
2024-05,IDR,16058.782696467159
2024-05,KHR,4068.8025670669217
2024-05,LAK,21399.088977547068
2024-05,MMK,2096.962006699084
2024-05,MYR,4.71348145785291
2024-05,PHP,57.779881019366876
2024-05,SGD,1.3500465043647352
2024-05,THB,36.565126267520306
2024-05,VND,25419.185540411363
2024-06,BND,1.3514732864696457
2024-06,IDR,16339.729312285934
2024-06,KHR,4115.768993539015
2024-06,LAK,21775.94575867114
2024-06,MMK,2098.5783668823133
2024-06,MYR,4.714874363832663
2024-06,PHP,58.71296347299245
2024-06,SGD,1.3514732864696457
2024-06,THB,36.726406284002906
2024-06,VND,25464.40679016591
2024-07,BND,1.3478801974768515
2024-07,IDR,16268.081244645622
2024-07,KHR,4105.935658341349
2024-07,LAK,22062.132339501688
2024-07,MMK,2098.678791799048
2024-07,MYR,4.683821541925245
2024-07,PHP,58.53869140121499
2024-07,SGD,1.3478801974768515
2024-07,THB,36.333414635592206
2024-07,VND,25435.47175036966
2024-08,BND,1.315037882350082
2024-08,IDR,15791.214677289225
2024-08,KHR,4086.4245565251804
2024-08,LAK,22115.05236596382
2024-08,MMK,2099.0214803470985
2024-08,MYR,4.405821817294664
2024-08,PHP,56.99725170548809
2024-08,SGD,1.315037882350082
2024-08,THB,34.76207723546471
2024-08,VND,25016.461692197157
2024-09,BND,1.2965029589131516
2024-09,IDR,15343.510518798013
2024-09,KHR,4065.6261690363126
2024-09,LAK,22051.094866633804
2024-09,MMK,2097.8934630318195
2024-09,MYR,4.271617122051923
2024-09,PHP,56.14024533786882
2024-09,SGD,1.2965029589131516
2024-09,THB,33.32570828855504
2024-09,VND,24690.55920591345
2024-10,BND,1.3127282731898895
2024-10,IDR,15636.697752041797
2024-10,KHR,4063.971164366464
2024-10,LAK,21954.17453441713
2024-10,MMK,2098.5264940985826
2024-10,MYR,4.310650758629133
2024-10,PHP,57.54378124058969
2024-10,SGD,1.3127282731898895
2024-10,THB,33.515401771618244
2024-10,VND,25092.144967957014
2024-11,BND,1.3350031647296041
2024-11,IDR,15809.86304946115
2024-11,KHR,4052.07362933675
2024-11,LAK,21956.743125714616
2024-11,MMK,2098.9288138444626
2024-11,MYR,4.430186236552566
2024-11,PHP,58.69103276892004
2024-11,SGD,1.3350031647296041
2024-11,THB,34.39364540521184
2024-11,VND,25381.140851082124
2024-12,BND,1.3506276024558068
2024-12,IDR,16028.726359650847
2024-12,KHR,4021.666583257515
2024-12,LAK,21898.387670644028
2024-12,MMK,2098.8923235201955
2024-12,MYR,4.457324680086711
2024-12,PHP,58.3838218100576
2024-12,SGD,1.3506276024558068
2024-12,THB,34.16054795025666
2024-12,VND,25405.096046477167
2025-01,BND,1.3593250301415694
2025-01,IDR,16228.16571938228
2025-01,KHR,4031.2573277113597
2025-01,LAK,21824.463612609037
2025-01,MMK,2098.758656058882
2025-01,MYR,4.472082870179559
2025-01,PHP,58.33001182951638
2025-01,SGD,1.3593250301415694
2025-01,THB,34.312250267677214
2025-01,VND,25285.917113207837
2025-02,BND,1.3496338385503273
2025-02,IDR,16306.290179481455
2025-02,KHR,4017.953725068024
2025-02,LAK,21752.155204359242
2025-02,MMK,2098.9571821603004
2025-02,MYR,4.447480283798883
2025-02,PHP,58.13712989965297
2025-02,SGD,1.3496338385503273
2025-02,THB,33.77368691041317
2025-02,VND,25443.017806420554
2025-03,BND,1.3355804298644707
2025-03,IDR,16390.768407793836
2025-03,KHR,4012.0217502337296
2025-03,LAK,21663.56330566749
2025-03,MMK,2098.7727609490357
2025-03,MYR,4.444439218908826
2025-03,PHP,57.460140008652665
2025-03,SGD,1.3355804298644707
2025-03,THB,33.81365434202794
2025-03,VND,25533.79617558164
